,date,close
220,02/12/2015,1676.77
221,03/12/2015,1673.92
222,04/12/2015,1667.87
223,07/12/2015,1672
224,08/12/2015,1669.24
225,09/12/2015,1659.36
226,10/12/2015,1648.65
227,11/12/2015,1640.14
228,14/12/2015,1629.96
229,15/12/2015,1622.84
230,16/12/2015,1634.13
231,17/12/2015,1656.52
232,18/12/2015,1643.9
233,21/12/2015,1629.09
234,22/12/2015,1643.26
235,23/12/2015,1663.51
236,28/12/2015,1670.73
237,29/12/2015,1685.36
238,30/12/2015,1693.14
239,31/12/2015,1692.51
240,04/01/2016,1653.37
241,05/01/2016,1665.7
242,06/01/2016,1667.97
243,07/01/2016,1655.13
244,08/01/2016,1657.61
245,11/01/2016,1637.59
246,12/01/2016,1641.37
247,13/01/2016,1642.54
248,14/01/2016,1633.44
249,15/01/2016,1628.55
250,18/01/2016,1622.64
251,19/01/2016,1629.22
252,20/01/2016,1618.83
253,21/01/2016,1600.92
254,22/01/2016,1625.21
255,26/01/2016,1626.66
256,27/01/2016,1631.54
257,28/01/2016,1634.53
258,29/01/2016,1667.8
259,02/02/2016,1653.18
260,03/02/2016,1633.3
261,04/02/2016,1656.77
262,05/02/2016,1662.46
263,10/02/2016,1644.41
264,11/02/2016,1643.95
265,12/02/2016,1643.74
266,15/02/2016,1649.96
267,16/02/2016,1664.99
268,17/02/2016,1664.32
269,18/02/2016,1680.02
270,19/02/2016,1674.88
271,22/02/2016,1674.59
272,23/02/2016,1677.28
273,24/02/2016,1664.17
274,25/02/2016,1658.16
275,26/02/2016,1663.44
276,29/02/2016,1654.75
277,01/03/2016,1670.82
278,02/03/2016,1691.03
279,03/03/2016,1688.2
280,04/03/2016,1692.49
281,07/03/2016,1697.93
282,08/03/2016,1687.86
283,09/03/2016,1686.35
284,10/03/2016,1690.91
285,11/03/2016,1696.54
286,14/03/2016,1700.31
287,15/03/2016,1690.92
288,16/03/2016,1693.43
289,17/03/2016,1703.19
290,18/03/2016,1716.34
291,21/03/2016,1718.36
292,22/03/2016,1724.75
293,23/03/2016,1724.55
294,24/03/2016,1715.53
295,25/03/2016,1703.79
296,28/03/2016,1702.41
297,29/03/2016,1715.04
298,30/03/2016,1717.82
299,31/03/2016,1717.58
300,01/04/2016,1710.55
301,04/04/2016,1725.24
302,05/04/2016,1718.08
303,06/04/2016,1717.01
304,07/04/2016,1724.29
305,08/04/2016,1718.4
306,11/04/2016,1715.28
307,12/04/2016,1715
308,13/04/2016,1723.11
309,14/04/2016,1723.78
310,15/04/2016,1727.99
311,18/04/2016,1717.68
312,19/04/2016,1711.15
313,20/04/2016,1708.91
314,21/04/2016,1721.47
315,22/04/2016,1717.96
316,25/04/2016,1714.51
317,26/04/2016,1692.5
318,27/04/2016,1692.34
319,28/04/2016,1674.76
320,29/04/2016,1672.72
321,03/05/2016,1651.44
322,04/05/2016,1657.58
323,05/05/2016,1645.09
324,06/05/2016,1649.36
325,09/05/2016,1632.19
326,10/05/2016,1635.84
327,11/05/2016,1644.58
328,12/05/2016,1648.98
329,13/05/2016,1628.26
330,16/05/2016,1621.21
331,17/05/2016,1633.39
332,18/05/2016,1635.72
333,19/05/2016,1633.76
334,20/05/2016,1628.79
335,23/05/2016,1634.89
336,24/05/2016,1625.84
337,25/05/2016,1630.96
338,26/05/2016,1631.09
339,27/05/2016,1637.19
340,30/05/2016,1629.87
341,31/05/2016,1626
342,01/06/2016,1626.5
343,02/06/2016,1630.53
344,03/06/2016,1636.46
345,06/06/2016,1648.99
346,07/06/2016,1660.62
347,08/06/2016,1657.85
348,09/06/2016,1650.51
349,10/06/2016,1641.22
350,13/06/2016,1629.77
351,14/06/2016,1626.11
352,15/06/2016,1627.96
353,16/06/2016,1614.9
354,17/06/2016,1624.18
355,20/06/2016,1634.23
356,21/06/2016,1637.69
357,23/06/2016,1639.98
358,24/06/2016,1634.05
359,27/06/2016,1629.52
360,28/06/2016,1634.04
361,29/06/2016,1642.21
362,30/06/2016,1654.08
363,01/07/2016,1646.22
364,04/07/2016,1654.84
365,05/07/2016,1650.71
366,08/07/2016,1644.54
367,11/07/2016,1653.87
368,12/07/2016,1653.97
369,13/07/2016,1660.39
370,14/07/2016,1654.78
371,15/07/2016,1668.4
372,18/07/2016,1670.84
373,19/07/2016,1670.55
374,20/07/2016,1669.61
375,21/07/2016,1657.54
376,22/07/2016,1657.42
377,25/07/2016,1668.26
378,26/07/2016,1661.42
379,27/07/2016,1663.56
380,28/07/2016,1658.5
381,29/07/2016,1653.26
382,01/08/2016,1665.23
383,02/08/2016,1660.23
384,03/08/2016,1648.5
385,04/08/2016,1655.29
386,05/08/2016,1664.04
387,08/08/2016,1672.68
388,09/08/2016,1671.71
389,10/08/2016,1673.03
390,11/08/2016,1678.8
391,12/08/2016,1684.15
392,15/08/2016,1690.33
393,16/08/2016,1699.89
394,17/08/2016,1694.32
395,18/08/2016,1694.87
396,19/08/2016,1687.68
397,22/08/2016,1691.07
398,23/08/2016,1683.07
399,24/08/2016,1682.06
400,25/08/2016,1680.3
401,26/08/2016,1683.09
402,29/08/2016,1681.6
403,30/08/2016,1678.06
404,01/09/2016,1670.55
405,02/09/2016,1671.79
406,05/09/2016,1678.08
407,06/09/2016,1689.92
408,07/09/2016,1689.57
409,08/09/2016,1691.38
410,09/09/2016,1686.44
411,13/09/2016,1677.18
412,14/09/2016,1661.39
413,15/09/2016,1652.99
414,19/09/2016,1651.71
415,20/09/2016,1655.78
416,21/09/2016,1658.73
417,22/09/2016,1669.66
418,23/09/2016,1670.99
419,26/09/2016,1669.5
420,27/09/2016,1664.72
421,28/09/2016,1664.96
422,29/09/2016,1669.64
423,30/09/2016,1652.55
